Accession_Number	F. prausnitzii BIOML-A1	F. prausnitzii AF32-8AC	F. prausnitzii AM39-7BH	F. prausnitzii CNCM I 4541	F. prausnitzii AM37-13AC	F. prausnitzii BIOML-B4	F. prausnitzii 2789STDY5834930	F. prausnitzii P9094	F. prausnitzii APC942/18-1	F. prausnitzii BIOML-B2	F. prausnitzii APC922/41-1	F. prausnitzii APC924/119	F. prausnitzii BIOML-B9	F. prausnitzii CNCM I 4575	F. prausnitzii BIOML-B13	F. prausnitzii AF36-11AT	F. prausnitzii BIOML-B18	F. prausnitzii  CNCM I 4544	F. prausnitzii Indica	F. prausnitzii 2789STDY5608869	F. prausnitzii ATCC 27768	F. prausnitzii ATCC 27766	F. prausnitzii MGYG-HGUT-02274	F. prausnitzii BIOML-B12	F. prausnitzii BIOML-B15	F. prausnitzii CNCM I 4573	F. prausnitzii AF29-11BH	F. prausnitzii P9224	F. prausnitzii A2165	F. prausnitzii BIOML-B10	F. prausnitzii FPSSTS7063_SV_a2_mod	F. prausnitzii AM33-14AC	F. prausnitzii JCM 31915	F. prausnitzii CNCM I 4546	F. prausnitzii APC923/61-1	F. prausnitzii L2/6	F. prausnitzii MGYG-HGUT-02272	F. prausnitzii BIOML-B1	F. prausnitzii BIOML-B14	F. prausnitzii  A2-165	F. prausnitzii APC942/8-14-2	F. prausnitzii P9391	F. prausnitzii BIOML-B8	F. prausnitzii MGYG-HGUT-01300	F. prausnitzii BIOML-B3	F. prausnitzii AHMP21	F. prausnitzii P9123	F. prausnitzii P9241	F. prausnitzii CNCM I 4540	F. prausnitzii BIOML-B6	F. prausnitzii P9311	F. prausnitzii P9225	F. prausnitzii P9239	F. prausnitzii BIOML-B11	F. prausnitzii M21/2	F. prausnitzii CNCM I 4543	F. prausnitzii KLE1255	F. prausnitzii AM36-18BH	F. prausnitzii BIOML-B16	F. prausnitzii AHMP21.	F. prausnitzii P9122	F. prausnitzii AF31-14AC	F. prausnitzii AM42-11AC	F. prausnitzii APC918/95b	F. prausnitzii SSTS_Bg7063	F. prausnitzii JG_BgPS064	F. prausnitzii MGYG-HGUT-00039	F. prausnitzii P9313	F. prausnitzii BIOML-B7	F. prausnitzii 942/30-2	F. prausnitzii aa_0143	F. prausnitzii AF10-13	F. prausnitzii P9240	F. prausnitzii APC923/51-1	F. prausnitzii CNCM I 4542	F. prausnitzii P9238	F. prausnitzii MGYG-HGUT-00195	F. prausnitzii 2789STDY5834970	F. prausnitzii APC942/32-1	F. prausnitzii SL3/3	F. prausnitzii BIOML-B17	F. prausnitzii CNCM I 4574	F. prausnitzii MGYG-HGUT-00022	F. prausnitzii MGYG-HGUT-02545
WP_097773199.1	2	4	4	2	5	3	0	3	2	4	3	2	1	1	2	4	4	4	3	2	3	3	0	2	4	2	2	0	6	1	0	4	6	1	1	1	3	2	2	6	2	5	1	3	4	2	1	2	4	2	3	3	3	2	3	3	1	1	4	3	2	6	1	1	0	1	2	1	1	2	4	3	1	1	3	3	4	1	1	5	3	5	5	2
WP_156065355.1	3	3	2	3	3	2	1	1	2	3	4	2	2	1	2	3	4	2	2	2	5	5	1	2	1	3	5	2	1	2	3	1	1	5	0	4	2	2	2	1	0	3	2	2	3	5	2	1	2	2	2	2	1	2	2	2	2	3	2	3	5	4	4	2	3	5	2	1	2	2	4	4	1	2	2	1	4	2	2	3	3	2	1	2
WP_156065357.1	1	3	1	2	3	3	0	0	1	3	4	4	4	2	4	2	3	1	1	1	5	4	1	4	1	3	6	3	1	4	4	1	1	6	0	2	1	4	4	1	1	2	4	2	3	2	1	1	1	4	1	1	1	4	2	3	2	2	1	1	6	4	2	1	1	4	1	1	4	1	3	4	1	1	3	0	3	3	2	3	3	3	1	1
WP_156065359.1	2	2	2	2	3	3	0	1	2	3	1	3	4	1	4	5	3	3	3	2	3	3	0	4	4	4	2	2	2	4	1	2	2	3	2	2	1	3	4	2	1	2	4	2	3	2	1	2	2	4	2	4	1	4	2	1	0	2	3	3	2	3	2	4	0	2	2	1	4	3	3	1	1	0	2	1	2	2	1	1	4	1	2	3
WP_156065363.1	3	0	2	7	1	2	2	2	0	2	1	4	3	1	3	3	2	5	3	3	1	1	0	3	2	4	2	2	2	3	0	3	2	5	1	1	4	3	3	2	1	2	3	2	2	1	2	2	3	3	3	3	3	3	2	2	3	1	2	3	3	2	2	2	1	3	3	2	3	0	2	2	2	1	7	2	1	5	0	3	2	2	2	0
WP_156065365.1	1	3	2	2	3	3	0	0	1	3	3	4	4	2	4	2	3	1	1	1	4	4	1	4	2	3	6	3	1	4	4	1	1	6	0	3	1	4	4	1	1	2	4	2	3	3	1	1	0	4	1	1	1	4	2	3	1	4	2	1	6	3	2	1	0	2	1	1	4	1	3	3	1	1	3	0	3	3	1	3	3	3	1	1
WP_156065369.1	1	2	3	1	2	4	0	1	3	4	4	1	3	3	3	4	4	2	1	1	4	4	1	2	2	1	2	2	1	3	1	3	1	2	3	2	1	4	3	1	1	3	1	2	4	2	3	1	1	3	1	4	2	1	2	2	0	4	3	2	4	3	2	3	1	2	1	2	1	3	4	0	2	3	1	1	2	4	1	3	4	2	1	3
WP_156065381.1	1	3	2	1	3	3	0	0	1	2	3	4	4	2	4	1	3	1	1	1	4	4	1	4	1	3	7	3	1	4	4	1	1	6	0	3	1	3	4	1	1	2	4	2	3	3	1	1	1	4	1	1	1	4	2	3	1	4	1	1	6	3	2	1	0	2	1	1	4	1	2	4	1	1	3	0	3	2	1	2	3	3	1	1
WP_156065431.1	1	3	2	2	3	3	1	0	1	3	3	4	4	2	4	0	3	1	1	1	3	3	1	4	2	3	7	2	1	4	4	1	1	4	0	3	1	3	4	1	1	2	4	2	3	2	1	1	0	4	1	1	1	4	2	3	2	5	2	1	5	4	2	1	0	2	1	1	4	1	3	4	1	1	3	0	3	3	1	1	2	3	1	1
WP_156065442.1	0	1	1	2	1	4	0	1	1	3	2	3	4	3	4	2	4	1	1	1	3	3	1	4	2	3	3	2	1	4	4	1	1	5	1	2	2	3	4	1	2	2	4	2	4	3	1	1	2	4	1	1	1	4	2	1	3	3	2	0	4	2	1	1	0	2	1	1	4	1	4	3	1	1	2	1	3	2	2	3	4	1	1	1
WP_156065447.1	2	2	2	2	1	3	0	2	1	3	1	3	2	2	2	2	3	1	2	1	2	2	0	2	3	4	1	1	5	2	1	1	5	1	1	1	1	0	2	5	3	2	2	2	3	3	1	3	2	2	4	3	1	2	2	2	3	1	2	3	3	1	2	2	1	2	1	3	2	1	3	1	3	1	2	2	2	1	2	1	3	1	5	1
WP_156066311.1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
WP_156067154.1	1	1	4	2	3	2	0	2	3	2	1	0	1	4	1	1	2	2	3	1	2	2	1	1	2	3	3	2	2	1	2	1	2	3	1	1	2	1	1	2	3	4	1	3	2	1	1	2	0	2	2	1	1	1	3	4	1	2	2	2	5	3	4	4	0	1	1	2	1	3	2	1	2	2	3	2	2	2	1	3	2	4	1	3
WP_156067379.1	2	1	2	2	0	3	1	4	2	3	1	2	3	0	5	3	3	2	1	3	0	0	0	4	2	2	1	2	2	3	1	2	2	3	1	1	0	1	4	2	1	2	4	2	3	1	3	0	2	4	2	0	0	4	2	0	1	0	2	3	1	1	1	3	0	0	3	0	4	2	3	2	0	3	2	4	2	2	1	2	3	1	2	2
WP_156067479.1	3	2	5	1	2	2	1	3	2	2	1	2	3	1	3	1	2	2	1	5	2	1	0	3	2	3	2	2	0	3	2	1	0	2	0	1	1	1	3	0	1	1	3	2	2	1	2	1	2	2	2	1	0	3	2	1	1	3	1	1	1	2	3	3	0	0	5	1	3	2	2	4	1	4	1	3	3	2	2	3	2	1	0	2
WP_156067529.1	2	1	2	2	3	2	0	0	0	1	4	2	2	2	2	3	1	1	2	3	3	3	1	2	1	2	6	2	1	2	5	2	1	3	0	3	1	2	2	1	0	2	2	2	1	3	1	1	1	2	0	1	1	2	2	2	2	3	2	2	5	4	2	1	3	4	3	1	2	0	1	1	1	2	1	0	3	1	2	2	2	2	1	0
WP_173011349.1	2	1	1	0	1	2	0	2	1	1	4	3	2	2	2	2	2	2	2	2	1	1	1	3	1	5	4	1	1	2	2	2	1	3	2	1	3	2	4	1	0	0	4	3	1	2	2	1	0	2	2	1	3	2	3	1	1	2	1	1	2	5	2	3	1	2	2	1	2	1	1	3	1	2	2	2	2	2	2	2	2	1	1	1
WP_197036534.1	1	2	2	1	3	3	0	1	3	3	3	1	2	3	2	2	2	1	1	1	2	2	2	2	1	2	2	2	1	2	1	2	1	3	3	0	2	3	2	1	3	1	2	3	3	3	2	0	1	2	2	2	1	2	3	1	0	2	2	1	2	2	1	2	1	1	1	0	2	3	2	1	0	2	1	1	1	2	1	3	2	2	1	3
WP_005361145.1	2	1	2	1	2	2	0	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	1	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	1
WP_117476032.1	0	0	1	2	2	2	0	1	2	2	3	3	2	2	2	1	2	0	2	2	3	3	2	2	1	4	4	2	1	2	2	1	1	4	0	3	0	3	2	1	0	3	2	1	2	1	2	0	1	2	2	2	0	2	1	1	2	5	2	1	3	3	1	1	0	3	2	0	2	2	2	3	0	3	2	1	1	2	2	1	2	1	1	2
WP_117476140.1	2	2	1	3	2	3	0	1	1	3	4	2	1	0	1	2	3	2	1	2	3	3	2	1	2	2	2	1	1	1	3	0	1	1	0	2	1	2	1	1	0	1	1	2	3	3	3	1	1	1	2	1	1	1	2	2	2	3	2	3	4	3	3	2	1	4	2	1	1	1	3	1	1	1	1	1	2	1	1	2	3	2	1	1
WP_117476189.1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	1	1	2	1	1	1	2	2	1	2	2	2	1	2	1	2	2	2	2	1	1	2	2	1	1	2	2	2	1	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	1	2	2	1	3	2	1	2	2	1	1	2
WP_117476392.1	1	1	2	2	2	2	0	2	1	1	2	3	1	2	1	2	2	2	2	2	1	1	1	1	2	3	3	3	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	3	1	1	3	4	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	1
WP_117476470.1	2	1	2	2	1	1	0	1	1	1	0	1	2	2	2	1	1	1	2	1	2	2	0	2	1	5	1	1	4	2	2	1	4	1	0	3	0	0	2	3	3	1	2	2	1	1	1	2	0	2	3	2	1	2	2	0	3	1	1	2	4	2	2	1	0	1	1	2	2	1	1	2	2	2	2	1	3	1	4	1	1	1	4	1
WP_117476489.1	2	2	2	1	1	1	0	2	2	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	2	2	2	2	1	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	1	2	1	2	1	2	2	1	2	2	3	2	2	2	1	2	2	2
WP_117477446.1	1	2	2	1	1	5	0	1	0	3	0	2	1	1	1	1	3	1	2	0	1	1	1	1	2	4	1	1	4	1	0	1	4	1	0	0	0	0	1	4	3	1	1	2	3	1	1	3	2	1	3	3	1	1	2	2	2	1	2	2	2	1	2	2	1	0	0	3	1	0	3	2	3	1	3	1	2	1	1	1	3	1	5	0
WP_117477453.1	1	3	1	1	2	3	1	1	2	3	1	1	0	1	0	3	3	1	1	1	1	1	0	0	3	2	2	1	3	0	1	2	3	0	1	2	1	1	0	3	2	4	0	3	3	1	0	2	2	0	0	1	1	0	3	1	2	1	3	1	1	3	2	1	1	1	1	1	0	2	3	2	1	1	3	1	1	1	4	2	3	2	3	2
WP_117477457.1	1	2	2	1	2	1	1	2	2	1	5	0	1	4	1	3	1	3	1	2	2	2	1	1	1	2	2	2	1	1	2	1	1	1	4	3	1	1	1	1	2	1	1	1	1	2	2	1	1	0	4	3	1	1	1	0	0	2	1	1	2	2	1	2	0	0	2	1	1	2	1	1	1	3	0	2	2	3	0	5	1	0	1	2
WP_117477495.1	1	3	0	0	2	2	3	0	2	2	3	1	2	3	2	0	2	2	0	3	2	2	1	2	2	2	2	1	0	2	2	0	0	2	2	2	3	2	2	0	2	0	2	2	2	2	0	0	3	2	0	0	0	2	2	0	2	2	2	0	0	2	0	2	2	2	3	0	2	2	2	2	0	3	2	0	3	2	2	2	2	0	0	2
WP_117535145.1	1	2	1	0	1	2	0	2	0	2	2	2	2	3	2	2	2	0	1	1	1	1	2	2	2	2	2	2	3	2	2	1	3	2	1	2	1	2	2	3	0	0	3	1	2	1	0	0	1	2	2	2	1	2	1	2	0	1	2	3	2	3	1	0	2	1	1	0	3	0	2	2	0	0	2	2	3	1	2	1	2	0	3	0
WP_117535149.1	1	3	2	1	1	1	0	3	3	1	1	2	1	2	2	2	1	2	3	1	1	2	1	2	1	0	1	1	3	2	0	0	3	4	1	1	1	1	1	3	1	0	1	3	1	1	0	0	0	1	1	2	3	1	3	2	2	2	1	1	1	1	2	1	1	1	1	0	1	3	1	2	0	2	2	3	2	2	1	1	1	2	3	3
WP_117535315.1	1	2	2	1	3	2	0	1	2	3	2	2	2	1	2	2	2	1	1	0	2	2	2	2	1	1	2	1	1	2	0	2	1	2	3	2	1	3	2	1	2	1	2	2	2	2	2	0	1	2	2	1	0	2	2	1	1	2	1	1	2	1	1	2	1	0	0	0	2	2	2	1	0	2	1	1	0	2	1	1	3	2	1	2
WP_117535317.1	2	2	1	0	2	3	0	1	1	3	2	3	1	3	1	1	3	1	1	2	3	3	0	1	2	2	4	1	0	1	1	2	0	2	0	2	1	3	1	0	0	1	1	2	3	3	2	0	1	1	2	0	0	1	2	2	0	4	2	1	3	2	1	1	1	1	2	0	1	1	3	3	0	1	0	1	1	1	0	2	3	2	0	1
WP_117535352.1	2	1	2	2	1	1	1	2	1	1	2	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	1	1	2	2	2	2	1	2	2	2	1	1	2	0	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	3	2	2	1	1	1	1	2	2	1
WP_117535360.1	3	1	1	0	0	2	0	2	0	2	1	1	3	3	3	2	2	2	0	1	3	1	0	3	2	1	1	2	1	3	0	1	1	1	0	0	1	1	3	1	0	2	3	4	2	0	1	0	0	3	2	2	1	3	4	4	0	0	2	1	2	2	1	2	0	1	1	0	3	0	2	2	0	0	2	2	0	2	0	1	2	4	1	0
WP_117535385.1	1	2	2	1	1	2	0	2	1	1	2	1	2	1	2	2	1	0	2	1	1	1	0	2	2	2	1	0	4	2	1	1	4	1	0	0	0	0	2	4	2	1	2	2	2	2	1	1	1	2	2	3	1	2	2	2	2	1	2	2	2	0	1	1	1	1	1	1	2	1	1	2	1	1	0	2	1	1	1	1	2	1	3	1
WP_117535714.1	1	1	1	1	3	2	1	1	3	2	2	1	1	2	1	2	2	1	1	0	2	2	2	1	0	2	2	2	1	1	0	1	1	3	3	2	2	2	1	1	1	1	1	1	2	3	2	0	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	1	0	0	0	1	3	2	1	0	2	1	1	0	2	1	3	2	2	1	3
WP_117535872.1	1	0	1	1	2	1	0	2	2	1	2	1	1	2	1	1	1	1	1	3	3	3	1	1	1	2	1	2	2	1	0	1	2	2	1	2	1	2	1	2	1	2	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	3	1	1	2	1	3	1	1	2	2	2	1	2	1	1	1	2	2
WP_117535962.1	1	1	2	0	1	1	0	2	2	1	2	2	1	2	1	2	1	0	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2	3	2	1	0	2	1	2	2	2	1	1	1	2	1	2	0	1	1	1	1	1	1	2	1	2	1	2	3	1	2	1	1	1	2	2	1	2	1	2	2	2	1	2	2	2	1	1	1	2	2	2
WP_117536055.1	0	2	1	2	2	1	0	1	1	1	2	1	2	2	2	2	1	1	0	1	3	3	0	2	2	2	2	3	1	2	4	1	1	3	0	0	1	2	2	1	0	2	2	2	1	1	1	1	0	2	1	1	1	2	2	1	1	3	0	0	3	1	1	1	0	2	1	1	2	1	0	2	1	0	3	1	2	2	2	2	2	1	1	1
WP_117536095.1	0	0	0	0	1	1	1	1	1	1	1	1	3	2	3	1	1	0	1	1	3	3	1	3	1	3	4	1	1	3	2	0	1	3	0	3	2	3	3	1	0	1	3	1	1	1	1	0	0	3	1	1	0	3	1	1	2	2	1	2	1	2	0	1	3	2	1	0	3	1	1	3	0	1	2	1	1	2	0	2	1	1	1	1
WP_117536123.1	1	1	1	2	1	1	0	1	2	1	4	2	1	2	1	1	1	1	1	1	2	2	2	1	1	3	4	2	1	1	3	0	1	2	0	1	1	3	1	1	0	2	1	0	1	2	0	0	3	1	0	1	0	1	0	2	1	3	1	0	3	4	2	1	1	5	1	0	1	2	1	3	0	0	1	1	2	1	2	1	1	2	1	2
WP_117536124.1	1	2	2	1	3	0	0	1	4	0	1	2	1	1	1	2	0	3	2	0	2	2	1	1	0	2	3	1	1	1	1	3	1	1	1	2	2	2	1	1	0	2	1	1	0	3	2	0	0	1	1	3	3	1	1	2	0	2	0	1	0	2	2	4	1	3	0	0	1	4	0	3	0	0	3	1	1	1	0	2	0	2	1	4
WP_147323070.1	2	2	2	2	2	2	0	1	1	1	2	2	1	1	1	2	3	2	1	1	2	2	1	1	1	1	2	2	0	1	3	2	0	2	0	2	1	1	1	0	1	2	1	2	2	0	2	1	0	1	1	1	1	1	2	1	2	2	2	1	3	3	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	3	3	1	0	1
WP_147323083.1	0	1	2	1	1	2	1	1	1	3	1	0	1	1	1	2	3	1	1	1	1	1	0	1	2	2	2	2	1	1	1	0	1	3	0	1	2	0	1	1	1	2	1	2	3	0	1	2	0	1	1	1	0	1	2	3	2	1	2	1	2	3	1	3	1	1	1	2	1	1	2	0	2	1	1	1	1	2	1	2	3	4	1	1
WP_147323089.1	2	1	2	1	1	1	0	2	1	1	2	1	1	2	1	2	1	1	2	2	1	1	0	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	2	2	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1
WP_181967110.1	1	1	1	0	1	3	0	1	1	3	0	3	1	3	1	2	3	0	2	1	2	2	0	1	3	2	3	1	1	1	1	0	1	3	0	3	1	1	1	1	0	1	1	1	3	2	1	0	2	1	0	1	0	1	1	2	0	4	2	0	3	2	2	1	0	2	1	0	1	1	3	3	0	1	1	1	1	2	1	1	3	2	1	1
WP_181967117.1	0	0	1	3	2	2	0	2	2	2	1	0	1	1	1	1	2	1	1	1	2	2	0	1	2	2	2	1	1	1	1	0	1	2	0	2	1	0	1	1	1	2	1	3	2	0	0	2	0	1	1	0	1	1	3	3	2	1	2	1	2	2	1	3	0	0	1	2	1	2	2	1	2	2	2	2	1	2	1	2	2	3	1	2
WP_181967169.1	0	2	2	1	1	1	0	0	1	1	3	2	2	2	2	2	1	0	1	1	3	3	1	2	1	3	3	1	1	2	2	1	1	3	0	1	1	3	2	1	0	1	2	1	1	3	0	0	1	2	1	1	0	2	1	2	2	1	1	0	3	3	2	0	0	2	1	0	2	1	1	3	0	0	2	0	3	1	1	1	1	2	1	1
WP_181967589.1	0	2	1	2	2	0	0	1	1	1	2	1	2	2	2	0	1	1	1	1	3	3	0	2	0	2	2	2	1	2	4	1	1	3	0	2	1	2	2	1	1	2	2	1	0	1	1	1	0	2	1	1	1	2	1	1	2	4	0	0	4	2	1	1	0	2	1	1	2	1	0	1	1	0	2	1	2	2	2	2	0	1	1	1
WP_207658319.1	1	0	1	2	2	2	1	1	0	2	1	2	2	1	2	1	2	2	1	1	2	2	0	2	2	2	2	1	1	2	0	1	1	2	0	0	2	2	2	1	0	1	2	2	2	1	1	1	2	2	1	1	1	2	2	1	2	2	2	1	1	2	1	2	0	0	1	1	2	0	2	2	1	2	2	1	1	2	0	2	2	1	1	0
WP_117526359.1	1	2	1	1	2	2	1	1	2	2	2	1	2	1	2	0	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	0	1	0	2	1	2	2	2	1	2	1	2	2	2	1	1	0	2	2	2	1	0	2	2	0	1	1	1	2	1	1	0	1	2	2	1	0	2	2	2	1	0	1	1	1	1	1	1	2	2	1	1	2
WP_118673892.1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	2	1	0	2	2	0	1	2	1	1	1	2	1	3	1	1	1	1	3	3	1	1	1	3	2	1	1	2	0	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	3	1	1	2	2	1	1	1	1	2	2	1
